date,cash_$,invested_$,equity_$,open_positions,deposited_$
2023-10-30,0.0,27503.24,27503.24,6,7200.0
2023-10-31,0.0,27503.24,27503.24,6,7200.0
2023-11-01,200.0,27503.24,27703.24,6,7400.0
2023-11-02,1604.15,26228.71,27832.86,5,7400.0
2023-11-03,13846.54,15221.45,29068.0,3,7400.0
2023-11-04,13846.54,15221.45,29068.0,3,7400.0
2023-11-05,13846.54,15221.45,29068.0,3,7400.0
2023-11-06,13846.54,15221.45,29068.0,3,7400.0
2023-11-07,13846.54,15221.45,29068.0,3,7400.0
2023-11-08,13846.54,15221.45,29068.0,3,7400.0
2023-11-09,13846.54,15221.45,29068.0,3,7400.0
2023-11-10,16987.98,11032.87,28020.85,2,7400.0
2023-11-11,16987.98,11032.87,28020.85,2,7400.0
2023-11-12,16987.98,11032.87,28020.85,2,7400.0
2023-11-13,16987.98,11032.87,28020.85,2,7400.0
2023-11-14,16987.98,11032.87,28020.85,2,7400.0
2023-11-15,16987.98,11032.87,28020.85,2,7400.0
2023-11-16,16987.98,11032.87,28020.85,2,7400.0
2023-11-17,16987.98,11032.87,28020.85,2,7400.0
2023-11-18,16987.98,11032.87,28020.85,2,7400.0
2023-11-19,16987.98,11032.87,28020.85,2,7400.0
2023-11-20,16987.98,11032.87,28020.85,2,7400.0
2023-11-21,16987.98,11032.87,28020.85,2,7400.0
2023-11-22,16987.98,11032.87,28020.85,2,7400.0
2023-11-23,16987.98,11032.87,28020.85,2,7400.0
2023-11-24,16987.98,11032.87,28020.85,2,7400.0
2023-11-25,16987.98,11032.87,28020.85,2,7400.0
2023-11-26,16987.98,11032.87,28020.85,2,7400.0
2023-11-27,12784.85,15236.0,28020.85,3,7400.0
2023-11-28,7180.68,20840.17,28020.85,4,7400.0
2023-11-29,0.0,28020.85,28020.85,6,7400.0
2023-11-30,0.0,28020.85,28020.85,6,7400.0
2023-12-01,200.0,28020.85,28220.85,6,7600.0
2023-12-02,200.0,28020.85,28220.85,6,7600.0
2023-12-03,200.0,28020.85,28220.85,6,7600.0
2023-12-04,200.0,28020.85,28220.85,6,7600.0
2023-12-05,200.0,28020.85,28220.85,6,7600.0
2023-12-06,4823.44,23817.72,28641.16,5,7600.0
2023-12-07,8098.75,20840.17,28938.92,4,7600.0
2023-12-08,14263.34,15236.0,29499.34,3,7600.0
2023-12-09,14263.34,15236.0,29499.34,3,7600.0
2023-12-10,14263.34,15236.0,29499.34,3,7600.0
2023-12-11,14263.34,15236.0,29499.34,3,7600.0
2023-12-12,14263.34,15236.0,29499.34,3,7600.0
2023-12-13,18923.02,11184.1,30107.12,2,7600.0
2023-12-14,18923.02,11184.1,30107.12,2,7600.0
2023-12-15,18923.02,11184.1,30107.12,2,7600.0
2023-12-16,18923.02,11184.1,30107.12,2,7600.0
2023-12-17,18923.02,11184.1,30107.12,2,7600.0
2023-12-18,18923.02,11184.1,30107.12,2,7600.0
2023-12-19,18923.02,11184.1,30107.12,2,7600.0
2023-12-20,18923.02,11184.1,30107.12,2,7600.0
2023-12-21,18923.02,11184.1,30107.12,2,7600.0
2023-12-22,18923.02,11184.1,30107.12,2,7600.0
2023-12-23,18923.02,11184.1,30107.12,2,7600.0
2023-12-24,18923.02,11184.1,30107.12,2,7600.0
2023-12-25,18923.02,11184.1,30107.12,2,7600.0
2023-12-26,12901.59,17205.53,30107.12,3,7600.0
2023-12-27,12756.57,17548.1,30304.67,3,7600.0
2023-12-28,12756.57,17548.1,30304.67,3,7600.0
2023-12-29,6695.63,23609.03,30304.67,4,7600.0
2023-12-30,6695.63,23609.03,30304.67,4,7600.0
2023-12-31,6695.63,23609.03,30304.67,4,7600.0
2024-01-01,6895.63,23609.03,30504.67,4,7800.0
2024-01-02,6895.63,23609.03,30504.67,4,7800.0
2024-01-03,6895.63,23609.03,30504.67,4,7800.0
2024-01-04,6895.63,23609.03,30504.67,4,7800.0
2024-01-05,6895.63,23609.03,30504.67,4,7800.0
2024-01-06,6895.63,23609.03,30504.67,4,7800.0
2024-01-07,6895.63,23609.03,30504.67,4,7800.0
2024-01-08,6895.63,23609.03,30504.67,4,7800.0
2024-01-09,6895.63,23609.03,30504.67,4,7800.0
2024-01-10,6895.63,23609.03,30504.67,4,7800.0
2024-01-11,6895.63,23609.03,30504.67,4,7800.0
2024-01-12,6895.63,23609.03,30504.67,4,7800.0
2024-01-13,6895.63,23609.03,30504.67,4,7800.0
2024-01-14,6895.63,23609.03,30504.67,4,7800.0
2024-01-15,6895.63,23609.03,30504.67,4,7800.0
2024-01-16,6895.63,23609.03,30504.67,4,7800.0
2024-01-17,6895.63,23609.03,30504.67,4,7800.0
2024-01-18,6895.63,23609.03,30504.67,4,7800.0
2024-01-19,6895.63,23609.03,30504.67,4,7800.0
2024-01-20,6895.63,23609.03,30504.67,4,7800.0
2024-01-21,6895.63,23609.03,30504.67,4,7800.0
2024-01-22,6895.63,23609.03,30504.67,4,7800.0
2024-01-23,6895.63,23609.03,30504.67,4,7800.0
2024-01-24,6895.63,23609.03,30504.67,4,7800.0
2024-01-25,20803.68,10606.63,31410.31,2,7800.0
